ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0072175	epithelial tube formation	16/498	125/12060	0.128	3.09975903614458	4.89741706459421	5.47006310968323e-05	0.000837689809071346	0.000595751505694552	SPINT1/MTHFD1L/SFRP1/IRX2/ST14/IRX3/RET/GATA3/ADM/TWIST1/LHX2/VEGFA/DLC1/SIX1/TGFB1/TGFB2	16
GO:0097191	extrinsic apoptotic signaling pathway	20/498	181/12060	0.110497237569061	2.67589695799774	4.71466126491336	5.78881677804317e-05	0.000883315135699968	0.000628199503440807	SIAH2/SFRP1/KLF4/THBS1/TNFSF15/NRG1/UNC5B/RET/LTB/NGF/TLR4/PMAIP1/LGALS3/GCLM/BID/TGFB1/CAV1/HMOX1/TGFB2/LTBR	20
GO:0002573	myeloid leukocyte differentiation	19/498	167/12060	0.11377245508982	2.755212466633	4.74019335840031	5.92639706386255e-05	0.000898135731936097	0.000638739672877454	SFRP1/KIT/CEBPA/F2RL1/FAM20C/LRRK1/GATA3/TRIB1/EPHA2/FOSL2/CEBPB/TLR4/VEGFA/RUNX1/MYC/FOS/TGFB1/LIF/LTBR	19
GO:0051960	regulation of nervous system development	32/498	369/12060	0.0867208672086721	2.10010774806543	4.45426870776387	5.9282886596442e-05	0.000898135731936097	0.000638739672877454	SPINT1/LRP8/DCC/KIT/IFRD1/HES7/PRKCH/TNFRSF21/SLC7A5/GBX2/LPAR3/CTSC/PLXNC1/THY1/NTN1/LHX2/NGF/VEGFA/ETV5/LDLR/SRPX2/PLXND1/CLSTN2/CXCL12/BHLHE40/VEGFC/SEMA5A/TGFB1/LIF/SEMA7A/HEY1/NR1D1	32
GO:0016055	Wnt signaling pathway	34/498	403/12060	0.0843672456575682	2.0431104068881	4.42021342795172	6.07660879990929e-05	0.000912456329411458	0.000648924251245252	FZD8/SIAH2/RSPO4/CDH3/SFRP1/FERMT1/IFRD1/ARHGEF19/EGR1/TRABD2A/TMEM198/KLF4/LRRK1/IGFBP6/EDN1/EDA/GATA3/SHISA2/LGR4/GSC/PPM1N/MYC/NKD2/GRK5/ADGRA2/DDIT3/FOXL1/SEMA5A/FZD9/WNT5B/TGFB1/FZD5/CAV1/ITGA3	34
GO:0001838	embryonic epithelial tube formation	15/498	113/12060	0.132743362831858	3.21462842520525	4.90867745828022	6.08734420611605e-05	0.000912456329411458	0.000648924251245252	SPINT1/MTHFD1L/SFRP1/IRX2/ST14/IRX3/RET/GATA3/ADM/TWIST1/LHX2/DLC1/SIX1/TGFB1/TGFB2	15
GO:1905039	carboxylic acid transmembrane transport	15/498	113/12060	0.132743362831858	3.21462842520525	4.90867745828022	6.08734420611605e-05	0.000912456329411458	0.000648924251245252	SLC6A9/SLC1A5/SLC7A1/SLC7A2/SLC7A7/SLC6A15/SLC38A2/SLC7A5/THBS1/SLC1A3/SLC16A7/SLC1A4/SLC16A3/SLC7A11/SLC38A4	15
GO:0019220	regulation of phosphate metabolic process	37/498	455/12060	0.0813186813186813	1.96928372831987	4.37409171036897	6.30601415073573e-05	0.000941905353078203	0.000669867922757917	PRR5L/PIM1/SFRP1/KIT/IGFBP3/SPRY2/PDGFB/XBP1/FGF18/SFN/APLN/PDGFA/TRIB2/THBS1/KDR/TNFSF15/NRG1/ACSL3/TRIB1/FLT1/GPRC5A/DUSP7/THY1/GADD45A/ADCYAP1R1/VEGFA/TRIB3/CARD10/PRKAG2/PID1/LDLR/DUSP1/ME1/SRPX2/PLAUR/DDR2/LIF	37
GO:0007435	salivary gland morphogenesis	7/498	26/12060	0.269230769230769	6.51992585727525	5.84748008305756	6.51039033280494e-05	0.000962267449190194	0.000684349117690041	PDGFA/EDA/ESRP2/NKX3-1/PLXND1/TGFB1/TGFB2	7
GO:0032613	interleukin-10 production	7/498	26/12060	0.269230769230769	6.51992585727525	5.84748008305756	6.51039033280494e-05	0.000962267449190194	0.000684349117690041	TNFRSF21/F2RL1/VSIR/TRIB2/THBS1/TLR4/JAK3	7
GO:0032653	regulation of interleukin-10 production	7/498	26/12060	0.269230769230769	6.51992585727525	5.84748008305756	6.51039033280494e-05	0.000962267449190194	0.000684349117690041	TNFRSF21/F2RL1/VSIR/TRIB2/THBS1/TLR4/JAK3	7
GO:2001235	positive regulation of apoptotic signaling pathway	15/498	114/12060	0.131578947368421	3.1864299302473	4.86777583857715	6.74911953661701e-05	0.000992765245648005	0.000706038659526832	SFRP1/THBS1/TNFSF15/RET/LTB/CTSC/NKX3-1/TLR4/PMAIP1/MYC/BID/DDIT3/CAV1/TGFB2/LTBR	15
GO:0045165	cell fate commitment	20/498	183/12060	0.109289617486339	2.64665218250049	4.65830453720885	6.76353503046378e-05	0.000992765245648005	0.000706038659526832	SFRP1/SPRY2/ESRP1/IFRD1/KLF4/FOXC2/KDR/EDN1/GATA3/PRDM1/EPAS1/GSC/TBX3/JAG1/SIX1/EBF2/WNT5B/RUNX2/TGFB2/JAK3	20
GO:0060348	bone development	19/498	169/12060	0.112426035502959	2.72260640193912	4.68030392842206	6.97467621392816e-05	0.00102022677584425	0.000725568857681238	SPNS2/FAM20C/FGF18/LRRK1/PDGFA/FOXC1/BGN/KDR/COL13A1/FOSL2/TWIST1/STC1/PAPPA2/TRPV4/INSIG1/TMEM119/DDR2/TGFB1/RUNX2	19
GO:0001974	blood vessel remodeling	8/498	35/12060	0.228571428571429	5.53528399311532	5.57634715955199	7.01509973560159e-05	0.00102261350784955	0.000727266263057846	FOXC1/FOXC2/BGN/EPAS1/JAG1/TGFB1/LIF/TGFB2	8
GO:0048839	inner ear development	18/498	155/12060	0.116129032258065	2.81228138359891	4.71281741874501	7.05177368563977e-05	0.00102443917720835	0.000728564649713178	ATP8B1/LRIG3/SPRY2/ESRP1/CEBPA/SLC4A7/GATA3/GBX2/GABRA5/KCNK2/NTN1/INSIG1/TBX3/JAG1/SIX1/TGFB1/NR4A3/TGFB2	18
GO:0001932	regulation of protein phosphorylation	28/498	307/12060	0.0912052117263844	2.20870452494015	4.45213991331086	7.18611348842203e-05	0.00104039226682206	0.000739910230207205	PRR5L/PIM1/SFRP1/KIT/IGFBP3/SPRY2/PDGFB/XBP1/FGF18/SFN/PDGFA/TRIB2/KDR/TNFSF15/NRG1/TRIB1/FLT1/GPRC5A/DUSP7/THY1/GADD45A/VEGFA/TRIB3/CARD10/DUSP1/PLAUR/DDR2/LIF	28
GO:0090596	sensory organ morphogenesis	22/498	214/12060	0.102803738317757	2.4895845062493	4.56289006539422	7.51514841831345e-05	0.00108432855749951	0.000771157012777886	THRB/LRIG3/SPRY2/KDR/EDN1/GATA3/PRDM1/GBX2/IRX5/EPHA2/TWIST1/THY1/NTN1/VEGFA/GSC/INSIG1/TBX3/JAG1/MYC/SIX1/FZD5/NR4A3	22
